,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
μ[81],7.528,0.03,7.47,7.581,0.0,0.0,7103.0,2969.0,1.0
μ[82],7.543,0.03,7.486,7.596,0.0,0.0,7081.0,2992.0,1.0
μ[83],7.558,0.03,7.501,7.612,0.0,0.0,7067.0,2992.0,1.0
μ[84],7.573,0.03,7.517,7.627,0.0,0.0,7051.0,2969.0,1.0
μ[85],7.589,0.03,7.533,7.642,0.0,0.0,7035.0,2924.0,1.0
μ[86],7.604,0.03,7.548,7.657,0.0,0.0,7019.0,2969.0,1.0
μ[87],7.619,0.03,7.564,7.672,0.0,0.0,7002.0,2948.0,1.0
μ[88],7.634,0.029,7.578,7.687,0.0,0.0,6980.0,3019.0,1.0
μ[89],7.649,0.029,7.594,7.701,0.0,0.0,6957.0,3019.0,1.0
μ[90],7.664,0.029,7.609,7.716,0.0,0.0,6932.0,3044.0,1.0
μ[91],7.679,0.029,7.624,7.732,0.0,0.0,6909.0,3044.0,1.0
μ[92],7.694,0.029,7.642,7.748,0.0,0.0,6888.0,3044.0,1.0
μ[93],7.71,0.029,7.657,7.763,0.0,0.0,6869.0,3044.0,1.0
μ[94],7.725,0.029,7.674,7.78,0.0,0.0,6844.0,3044.0,1.0
μ[95],7.74,0.029,7.689,7.795,0.0,0.0,6822.0,3044.0,1.0
